Module_A,Module_B,Clash_Count
HIST08041,HIST08044,99
PSYL10131,PSYL10168,98
PSYL10150,PSYL10174,98
PSYL10150,PSYL10168,98
PSYL10102,PSYL10174,98
CIVE08023,SCEE08016,98
CHEM09005,CHEM09006,98
SCIL10018,SCIL10091,97
CHEM09006,CHEM09007,97
CHEM09005,CHEM09007,97
PSYL10102,PSYL10168,97
PLIT08008,PLIT08021,97
BUST08008,BUST08033,96
ARCH10003,ARJA10002,96
BUST10127,BUST10158,96
ELEE09026,ELEE09035,95
BUST10157,BUST10158,95
ARCH10005,ARJA10002,95
ELEE08020,SCEE08014,94
ELEE09029,SCEE09002,93
ELEE08021,SCEE08014,93
MECE08014,SCEE08008,93
EDUA10172,EDUA10177,93
PHYS10042,PHYS10087,93
BUST08018,ECNM08006,92
EDUA11385,REDU11045,92
ELEE09026,ELEE09029,92
ARCH10001,ARCH10002,92
CIVE08024,SCEE08010,92
PHYS10087,PHYS10096,92
ARCH08006,ARCH08027,92
BUST10004,BUST10158,92
ARCH08027,ARCH08028,92
ARCH08007,ARCH08028,91
ARCH08027,ARHI08010,91
CIVE08024,SCEE08014,91
EDUA11385,REDU11046,91
EDUA11282,REDU11045,91
EDUA11282,REDU11046,91
CIVE08024,SCEE08009,91
MECE08013,SCEE08008,91
ARCH08006,ARCH08028,91
BUST08018,ECNM08016,90
ARCH08006,ARHI08010,90
CIVE08024,SCEE08016,90
ARCH08006,ARCH08007,90
ARCH08007,ARCH08027,90
ARCH08028,ARHI08010,90
PHYS09057,PHYS09061,90
BIME08012,CHEM08030,90
MATH10066,MATH10095,90
SCIL10062,SCIL10091,89
ELEE08020,SCEE08008,89
BUST08049,BUST08050,89
BUST08030,BUST08050,89
BUST08030,BUST08049,89
SCIL10018,SCIL10062,89
CIVE08024,SCEE08003,89
ELEE09029,ELEE09035,89
ARCH08007,ARHI08010,89
GEGR08016,GEGR08017,88
ELEE08021,SCEE08008,88
GEGR08015,GEGR08016,88
EDUA08118,EDUA08120,88
EDUA08118,EDUA08119,88
EDUA08104,EDUA08120,88
EDUA08104,EDUA08119,88
EDUA08104,EDUA08118,88
EDUA08099,EDUA08120,88
EDUA08099,EDUA08104,88
EDUA08099,EDUA08118,88
ARTX08092,ARTX08093,88
BILG09002,BILG09005,88
EDUA08099,EDUA08119,88
EDUA08119,EDUA08120,88
EDUA11248,EDUA11347,87
ELEE09016,SCEE09002,87
EASC08031,EASC08033,87
BILG08023,CHEM08022,87
BILG08020,CHEM08022,86
PHYS10099,PHYS11024,86
PHYS09057,PHYS09060,86
BILG08022,CHEM08022,86
ARCH10025,ARJA10002,86
ARCH10005,ARCH10025,86
PSYL08009,PSYL08010,86
ARCH10003,ARCH10025,86
BILG08021,CHEM08022,86
BIME09003,BIME09008,85
ARTX10037,ARTX10038,85
ELEE09032,SCEE09002,85
ELCC10013,ELCF10003,85
ELCF10002,ELCF10003,85
EDUA11288,EDUA11289,84
BILG08022,CHEM08023,84
CIVE08023,SCEE08015,84
MATH10067,MATH10095,84
BILG08021,CHEM08023,83
LASC08017,LASC08019,83
BILG08023,CHEM08023,83
INFR11132,INFR11147,82
PHYS10096,PHYS10100,82
PHYS08026,PHYS08043,82
CIVE08023,CIVE08026,82
INFR09051,INFR10078,82
ELCC10015,ELCH10027,82
ELCH10026,ELCH10027,82
ELEE09016,ELEE09032,82
BILG08020,CHEM08023,82
PHYS11016,PHYS11049,81
ARCH10002,ARCH10027,81
MECE10002,MECE10004,81
CIVE08020,CIVE08023,81
ECNM10030,ECNM10114,81
ARCH10001,ARCH10027,81
EFIE11023,EFIE11027,81
ARCH10026,ARCH10027,80
ARCH10002,ARCH10026,80
INFR10022,INFR10078,80
CIVE08024,SCEE08015,80
GEGR09020,GEGR10133,80
ARCH10001,ARCH10026,80
ELEE09016,ELEE09035,80
BUST08009,BUST08056,80
PHYS08026,PHYS08045,80
BILG08018,CHEM08030,80
PHYS10099,PHYS10100,79
EDUA11212,REDU11046,79
BUST08009,BUST08033,79
EDUA10180,EDUA10193,79
PHYS08026,PHYS08042,79
EDUA11212,REDU11045,79
EASC08031,EASC08032,79
EDUA11385,REDU11083,79
PLIT08008,PLIT08016,79
INFR10067,INFR10078,79
ELEE08016,MECE08009,79
PHYS10042,PHYS10100,78
PHYS08026,PHYS08046,78
ELEE09016,ELEE09026,78
