Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus,Day,Start_Time,Time_Blocks,Session_ID
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK,Lecture,180,200.0,Thursday 09:00,5,12,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK_W12
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK-00001,Lecture,180,200.0,Thursday 09:00,5,27,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK-00001_W27
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK-00001,Lecture,180,200.0,Thursday 09:00,5,25,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK-00001_W25
Moray House School of Education and Sport,EDUA08045,E:61LY4VACOD-00001-00005,Other,120,200.0,Tuesday 18:30,1,35,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,18:30,2,E:61LY4VACOD-00001-00005_W35
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,16,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W16
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,11,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W11
Moray House School of Education and Sport,EDUA08104,E:FVCKMHBOS5_Part1,Other,240,200.0,Monday 09:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,3,E:FVCKMHBOS5_W19_Part1
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK,Lecture,180,200.0,Thursday 09:00,5,11,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK_W11
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK-00001,Lecture,180,200.0,Thursday 09:00,5,36,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK-00001_W36
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK-00001,Lecture,180,200.0,Thursday 09:00,5,37,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK-00001_W37
