,Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus
23421,School of Social and Political Science,PLIT08016_SV1_SEM2_2024/5,E:MF8958XJ4E,Lecture,50,250.0,Thursday 16:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0114_00_G.01,Centrally Allocated Space,General Teaching,McEwan Hall,Central
23423,School of Informatics,"INFR11260_SV1_SEM1_2024/5, INFR11262_SS1_YR_2024/5",E:B3PXHSVXSU-00001,Lecture,50,161.0,Thursday 13:00,10,"9, 10, 11, 12, 14, 15, 16, 17, 18, 19",0113_00_G.07,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23429,School of Informatics,INFR10088_SS1_SEM1_2024/5,E:3N2N2CKM51,Lecture,50,44.0,Wednesday 12:00,5,"9, 10, 12, 13, 16",0311_02_2.13,Centrally Allocated Space,General Teaching,Geography (Old Infirmary),Central
23430,School of Informatics,INFR11094_SS1_SEM1_2024/5,E:RX15TKY8P6,Tutorial,80,18.0,Wednesday 14:00,6,"11, 12, 14, 15, 17, 18",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23431,School of Informatics,"INFR11252_SS1_SEM2_2024/5, INFR11240_SS1_SEM2_2024/5",E:TW8OQX2J1T-00001,Lecture,50,29.0,Friday 12:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0311_02_2.05,Centrally Allocated Space,General Teaching,Geography (Old Infirmary),Central
23438,School of Social and Political Science,SCIL08013_SV1_SEM2_2024/5,E:MBCBPHKTKK,Lecture,50,175.0,Thursday 14:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0114_00_G.01,Centrally Allocated Space,General Teaching,McEwan Hall,Central
23442,School of Informatics,INFR09032_SS1_SEM2_2024/5,E:DH4P45FYDS,Lecture,90,152.0,Wednesday 09:30,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0113_00_G.07,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23443,School of Informatics,INFR11254_SV1_SEM1_2024/5,E:DCQ5NSY4YS-00001,Lecture,50,25.0,Tuesday 11:00,10,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18",0201_02_2.14,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23444,School of Informatics,INFR10061_SV1_SEM1_2024/5,E:JQS7ZYZ82S,Tutorial,50,16.0,Monday 12:00,8,"11, 12, 13, 14, 15, 16, 17, 18",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23445,School of Social and Political Science,SCIL08009_SV1_SEM2_2024/5,E:A7TGY1N6TN,Lecture,50,120.0,Wednesday 10:00,8,"26, 27, 30, 32, 33, 34, 35, 36",0114_-1_B.01-B.02,Centrally Allocated Space,General Teaching,McEwan Hall,Central
23446,School of Social and Political Science,SCIL10068_SV1_SEM2_2024/5,E:MZRUPFGZG3,Seminar,110,45.0,Tuesday 14:00,2,"30, 34",0114_-1_B.01-B.02,Centrally Allocated Space,General Teaching,McEwan Hall,Central
23447,School of Informatics,EPCC11009_SV1_SEM2_2024/5,E:BCW7YR945L,Lecture,50,60.0,Thursday 11:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 36, 37",0228_-1_LG.11,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23448,School of Social and Political Science,PGSP11469_SV1_SEM2_2024/5,E:YQSHPQQ5IM,Workshop,50,42.0,Thursday 12:00,10,"27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0114_-1_B.03-B.04,Centrally Allocated Space,General Teaching,McEwan Hall,Central
23449,School of Informatics,"INFR11242_SV1_SEM2_2024/5, INFR11243_SV1_SEM2_2024/5",E:UJCQSZIEN8-00001,Lecture,50,30.0,Thursday 14:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0201_02_2.12,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23453,School of Informatics,INFR11136_SS1_SEM1_2024/5,E:JA2KJI4C19,Tutorial,50,20.0,Thursday 12:00,6,"11, 12, 13, 14, 15, 16",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23455,School of Social and Political Science,PLIT10036_SV1_SEM1_2024/5,E:8RVDZO2UGA,Lecture,50,120.0,Tuesday 15:00,2,"12, 15",0114_00_G.01,Centrally Allocated Space,General Teaching,McEwan Hall,Central
23457,School of Informatics,"INFR10089_SV1_SEM1_2024/5, INFR11248_SV1_SEM1_2024/5",E:AXGAIFLPHV-00001,Lecture,50,26.0,Thursday 16:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0201_02_2.11,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23459,School of Informatics,"INFR11156_SV1_SEM2_2024/5, INFR11279_SV1_SEM2_2024/5",E:NHLPOTOFAH,Tutorial,50,18.0,Thursday 14:00,2,"32, 35",0201_02_2.04,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23463,School of Informatics,INFR08027_SV1_SEM1_2024/5,E:SVKN4VFDKH,Tutorial,50,21.0,Wednesday 16:00,6,"11, 12, 14, 15, 17, 18",0201_02_2.11,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23464,School of Informatics,INFR10074_SV1_SEM2_2024/5,E:S7DTI1591Y,Lecture,80,174.0,Thursday 13:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0227_00_G.03,Centrally Allocated Space,General Teaching,50 George Square,Central
23465,School of Informatics,INFR08030_SS1_YR_2024/5,E:U17BMP6DPG,Lecture,50,243.0,Wednesday 09:00,5,"26, 27, 28, 29, 30",0229_01_1.B,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23466,School of Informatics,INFR10065_SS1_SEM2_2024/5,E:EI2U8MNNO4,Lecture,110,138.0,Monday 15:00,10,"26, 27, 28, 29, 30, 33, 34, 35, 36, 37",0227_00_G.03,Centrally Allocated Space,General Teaching,50 George Square,Central
23468,School of Informatics,INFR10078_SV1_SEM2_2024/5,E:LLWWILJKNH,Tutorial,50,18.0,Monday 10:00,5,"27, 29, 32, 34, 36",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23469,School of Informatics,EPCC11008_SS1_YR_2024/5,E:JOOVXD1VFF,Lecture,50,50.0,Tuesday 15:00,9,"10, 11, 12, 13, 14, 15, 16, 17, 18",0001_00_G.159,Centrally Allocated Space,General Teaching,Old College,Central
23472,School of Informatics,"INFR11241_SV1_SEM2_2024/5, INFR11247_SV1_SEM2_2024/5",E:BCDCFDHU45,Tutorial,50,45.0,Wednesday 14:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0283_01_1.20,Centrally Allocated Space,General Teaching,Dugald Stewart Building,Central
23475,School of Informatics,INFR10085_SV1_SEM1_2024/5,E:QKHN7TGPB9,Lecture,50,92.0,Monday 14:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0228_-1_LG.09,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23476,School of Informatics,INFR08020_SV1_SEM2_2024/5,E:J23KRS9BYR-00002,Lecture,50,265.0,Friday 15:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0229_01_1.A,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23487,School of Informatics,"INFR11260_SV1_SEM1_2024/5, INFR11262_SS1_YR_2024/5",E:B3PXHSVXSU,Lecture,50,161.0,Tuesday 11:00,9,"9, 10, 11, 12, 14, 15, 16, 17, 18",0113_00_G.07,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23488,School of Informatics,INFR11136_SS1_SEM1_2024/5,E:KLA2UQW2X6,Tutorial,50,20.0,Tuesday 16:00,6,"11, 12, 13, 14, 15, 16",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23489,School of Informatics,"INFR11210_SV1_YR_2024/5, INFR11237_SS1_YR_2024/5",E:1Y4MOF26V6,Lecture,110,52.0,Thursday 10:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0201_02_2.12,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23492,School of Informatics,INFR08025_SV1_SEM1_2024/5,E:TN3TMI5K8I,Tutorial,90,15.0,Friday 09:00,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23496,School of Informatics,INFR10022_SV1_SEM1_2024/5,E:ECXFUPDLQJ,Q&A Session,50,209.0,Monday 13:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0229_01_1.C,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23497,School of Informatics,INFR08010_SV1_SEM2_2024/5,E:5OE4L5C5NC,Tutorial,50,20.0,Wednesday 11:00,10,"27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0201_02_2.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23499,School of Informatics,INFR08020_SV1_SEM2_2024/5,E:RSA1M84VJU,Tutorial,50,18.0,Monday 15:00,9,"27, 28, 29, 30, 32, 33, 34, 35, 36",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23501,School of Informatics,INFR11259_SS1_YR_2024/5,E:M4JKTWMGPF-00001-00002,Lecture,50,,Wednesday 16:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23507,School of Informatics,EPCC11001_SS1_YR_2024/5,E:6X4KQUGROL,Lecture,50,50.0,Monday 12:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0335_05_5.3,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
23509,School of Informatics,"INFR11212_SV1_SEM2_2024/5, INFR11278_SV1_SEM2_2024/5",E:44YH9SWSIH,Lecture,50,52.0,Wednesday 14:00,5,"27, 29, 32, 34, 36",0229_01_1.C,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23510,School of Informatics,INFR10059_SV1_SEM1_2024/5,E:SSLSV48HOC,Lecture,50,34.0,Tuesday 15:00,8,"12, 13, 14, 15, 16, 17, 18, 19",0335_01_1.2,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
23512,School of Informatics,INFR08020_SV1_SEM2_2024/5,E:Y3PVHOYQ8S,Tutorial,50,20.0,Thursday 13:00,9,"27, 28, 29, 30, 32, 33, 34, 35, 36",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23513,School of Informatics,"INFR11206_SS1_SEM2_2024/5, INFR11231_SS1_SEM2_2024/5",E:4F85HMAZFJ,Tutorial,50,20.0,Thursday 13:00,2,"29, 33",0003_00_G.03,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
23514,School of Informatics,INFR10078_SV1_SEM2_2024/5,E:PJK7HYK673,Tutorial,50,18.0,Thursday 16:00,5,"27, 29, 32, 34, 36",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23515,School of Informatics,INFR11114_SV1_SEM1_2024/5,E:9HB6INZ39G,Lecture,50,46.0,Tuesday 12:00,8,"12, 13, 14, 15, 16, 17, 18, 19",0113_01M_01M.473,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23517,School of Informatics,"INFR11225_SV1_SEM2_2024/5, INFR11157_SV1_SEM2_2024/5",E:U8613ISNA5-00002,Lecture,50,208.0,Friday 12:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0229_01_1.B,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23525,School of Informatics,INFR11130_SV1_SEM1_2024/5,E:RCU8YLZDN6-00002,Lecture,50,162.0,Wednesday 09:00,10,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18",0113_00_G.07,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23528,School of Informatics,"INFR11269_SS1_SEM2_2024/5, INFR11280_SS1_SEM2_2024/5",E:FYMK2OOJJM,Lecture,110,190.0,Friday 15:00,2,"28, 34",0229_01_1.B,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23531,School of Informatics,INFR10078_SV1_SEM2_2024/5,E:KQ95N675MQ,Tutorial,50,18.0,Monday 12:00,5,"27, 29, 32, 34, 36",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23534,School of Informatics,INFR11125_SV1_SEM1_2024/5,E:G3OH3M8H9X,Lecture,50,186.0,Friday 09:00,10,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18",0113_00_G.152,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23536,School of Informatics,INFR11198_SS1_SEM1_2024/5,E:WR2VGRXUXV,Lecture,50,75.0,Thursday 15:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0228_-1_LG.11,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23537,School of Informatics,INFR08025_SV1_SEM1_2024/5,E:MJ33YCFYYA,Tutorial,80,15.0,Friday 16:00,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23538,School of Informatics,"INFR11157_SV1_SEM2_2024/5, INFR11225_SV1_SEM2_2024/5",E:U8613ISNA5-00001,Lecture,50,208.0,Wednesday 12:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0227_00_G.03,Centrally Allocated Space,General Teaching,50 George Square,Central
23539,School of Informatics,INFR11213_SV1_SEM1_2024/5,E:191HU7LL5F-00001,Lecture,50,57.0,Tuesday 10:00,10,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18",0229_01_1.C,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23540,School of Informatics,INFR11136_SS1_SEM1_2024/5,E:6CA6IWCTVN,Tutorial,50,20.0,Tuesday 15:00,6,"11, 12, 13, 14, 15, 16",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23541,School of Informatics,EPCC11005_SV1_SEM1_2024/5,E:PDHDYXCCSR-00001,Lecture,50,35.0,Thursday 14:00,7,"9, 12, 13, 15, 16, 17, 18",0227_00_G.06,Centrally Allocated Space,General Teaching,50 George Square,Central
23544,School of Informatics,INFR10077_SS1_YR_2024/5,E:81P6YW28JV,Lecture,110,36.0,Thursday 11:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0313_00_G.10,Centrally Allocated Space,General Teaching,Old Surgeons Hall,Central
23548,School of Informatics,INFR08027_SV1_SEM1_2024/5,E:NX42S8D5KV,Tutorial,50,21.0,Friday 12:00,6,"11, 12, 14, 15, 17, 18",0201_02_2.11,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23549,School of Informatics,INFR08025_SV1_SEM1_2024/5,E:L614GO6TJP,Tutorial,90,15.0,Friday 10:30,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0201_02_2.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23553,School of Informatics,INFR11246_SV1_SEM1_2024/5,E:CHUA3PWK2S-00002,Meeting,50,96.0,Friday 12:00,2,"15, 19",0001_00_G.159,Centrally Allocated Space,General Teaching,Old College,Central
23554,School of Informatics,INFR10054_SV1_SEM1_2024/5,E:3ZJ653SABD,Lecture,50,58.0,Tuesday 14:00,2,"10, 14",0228_-1_LG.11,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23556,School of Informatics,"INFR11156_SV1_SEM2_2024/5, INFR11279_SV1_SEM2_2024/5",E:MJ9WFCE2PF,Lecture,50,63.0,Tuesday 13:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0208_00_G.8,Centrally Allocated Space,General Teaching,1 George Square (Neuroscience),Central
23561,School of Informatics,INFR08027_SV1_SEM1_2024/5,E:U3KPYFK8N1,Tutorial,50,21.0,Friday 13:00,6,"11, 12, 14, 15, 17, 18",0201_02_2.11,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23562,School of Informatics,INFR08010_SV1_SEM2_2024/5,E:CON4BXH9BM,Tutorial,50,20.0,Wednesday 14:00,10,"27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0201_02_2.04,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23567,School of Informatics,INFR11136_SS1_SEM1_2024/5,E:EOY6UWFPYS,Tutorial,50,20.0,Tuesday 14:00,6,"11, 12, 13, 14, 15, 16",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23569,School of Informatics,EPCC11014_SV1_SEM2_2024/5,E:7B7UDC8OOD-00001,Lecture,50,35.0,Tuesday 14:00,2,"26, 27",0113_00_G.07,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23570,School of Informatics,INFR08025_SV1_SEM1_2024/5,E:16LS3CMTHC,Tutorial,90,15.0,Friday 09:00,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0201_02_2.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23573,School of Informatics,"INFR11020_SV1_SEM2_2024/5, INFR11218_SV1_SEM2_2024/5",E:DFSWQAL48A,Tutorial,50,60.0,Friday 15:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0335_04_4.3,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
23576,School of Informatics,INFR10057_SV1_SEM1_2024/5,E:3QJC92PPRN,Lecture,50,107.0,Tuesday 10:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0113_00_G.07,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23577,School of Informatics,INFR08027_SV1_SEM1_2024/5,E:CZBCV9XA1D,Tutorial,50,21.0,Wednesday 12:00,6,"11, 12, 14, 15, 17, 18",0201_02_2.11,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23582,School of Informatics,EPCC11019_SV1_SEM1_2024/5,E:H96C9RQBV1,Seminar,50,30.0,Monday 09:00,3,"10, 11, 12",0228_-1_LG.06,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23585,School of Informatics,INFR10078_SV1_SEM2_2024/5,E:D978OGYUKP,Tutorial,50,18.0,Monday 11:00,5,"27, 29, 32, 34, 36",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23588,School of Informatics,INFR08020_SV1_SEM2_2024/5,E:J23KRS9BYR,Lecture,50,265.0,Tuesday 15:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0229_01_1.A,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23589,School of Informatics,EPCC11005_SV1_SEM1_2024/5,E:3UXRS1N56B,Lecture,50,35.0,Wednesday 11:00,6,"10, 13, 14, 15, 16, 19",0210_00_G.04,Centrally Allocated Space,General Teaching,Robson Building,Central
23591,School of Informatics,INFR11205_SS1_SEM2_2024/5,E:T2FMG36A4B,Tutorial,50,30.0,Friday 12:00,4,"28, 30, 33, 35",0300_00_NG.01,Centrally Allocated Space,General Teaching,High School Yards Teaching Centre,Central
23593,School of Informatics,INFR08020_SV1_SEM2_2024/5,E:RQ8YN7K3GG,Tutorial,50,16.0,Wednesday 09:00,9,"27, 28, 29, 30, 32, 33, 34, 35, 36",0300_00_NG.03,Centrally Allocated Space,General Teaching,High School Yards Teaching Centre,Central
23598,School of Informatics,EPCC11019_SV1_SEM1_2024/5,E:ITLRSJNWHS,Lecture,50,30.0,Thursday 12:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0335_01_1.3,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
23602,School of Informatics,EPCC11014_SV1_SEM2_2024/5,E:7B7UDC8OOD,Lecture,50,35.0,Monday 14:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0228_-1_LG.11,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23603,School of Informatics,INFR08025_SV1_SEM1_2024/5,E:9XBJ5FQPUN,Tutorial,90,15.0,Friday 10:30,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0201_02_2.04,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23605,School of Informatics,INFR09051_SS1_SEM1_2024/5,E:8KNDUQABXO,Lecture,50,255.0,Thursday 12:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0227_00_G.03,Centrally Allocated Space,General Teaching,50 George Square,Central
23611,School of Informatics,"INFR11010_SV1_SEM2_2024/5, INFR11236_SV1_SEM2_2024/5",E:3NR8OGRPF6,Lecture,50,209.0,Tuesday 14:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0229_01_1.B,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23612,School of Informatics,INFR11259_SS1_YR_2024/5,E:M4JKTWMGPF-00001-00001,Lecture,50,,Friday 16:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23613,School of Informatics,INFR11268_SS1_YR_2024/5,E:OPIU5K2BYF,Lecture,50,16.0,Monday 11:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23614,School of Informatics,EPCC11013_SS1_SEM2_2024/5,E:24DGMR2BJI,Lecture,50,50.0,Tuesday 12:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0335_05_5.3,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
23617,School of Informatics,EPCC11017_SV1_SEM1_2024/5,E:E2M23V1QXY,Lecture,50,40.0,Tuesday 15:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0227_00_G.06,Centrally Allocated Space,General Teaching,50 George Square,Central
23619,School of Informatics,INFR11136_SS1_SEM1_2024/5,E:X2N7Y1LFZV,Tutorial,50,20.0,Tuesday 10:00,6,"11, 12, 13, 14, 15, 16",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23620,School of Informatics,EPCC11013_SS1_SEM2_2024/5,E:24DGMR2BJI-00001,Lecture,50,50.0,Thursday 09:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0228_-1_LG.10,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23621,School of Informatics,EPCC11010_SV1_SEM2_2024/5,E:1L7I2FSVJJ-00001,Lecture,50,35.0,Wednesday 12:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0228_-1_LG.06,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23625,School of Informatics,INFR08010_SV1_SEM2_2024/5,E:L4CRMYVPB8,Tutorial,50,20.0,Wednesday 13:00,10,"27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0201_02_2.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23626,School of Informatics,INFR10065_SS1_SEM2_2024/5,E:5UZQIROSJX,Lecture,50,138.0,Thursday 15:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0113_00_G.07,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23627,School of Informatics,"INFR11158_SV1_SEM2_2024/5, INFR11230_SV1_SEM2_2024/5",E:DY8T4XE8XC,Lecture,50,76.0,Friday 13:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0228_-1_LG.09,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23629,School of Informatics,INFR08025_SV1_SEM1_2024/5,E:794I747WX3,Tutorial,90,15.0,Thursday 15:30,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0201_02_2.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23631,School of Informatics,"INFR11187_SS1_SEM2_2024/5, INFR11227_SS1_SEM2_2024/5",E:MSMG9VL1X6,Lecture,50,37.0,Tuesday 11:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0335_02_2.3,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
23632,School of Informatics,INFR10022_SV1_SEM1_2024/5,E:UPV96PSDWB,Q&A Session,50,209.0,Friday 13:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0229_01_1.B,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23633,School of Informatics,INFR11258_SS1_SEM1_2024/5,E:UTZXEPH4T7,Lecture,50,23.0,Thursday 14:00,5,"9, 11, 13, 15, 17",0201_02_2.11,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23635,School of Informatics,INFR08026_SV1_YR_2024/5,E:7G137DJSUU,Lecture,50,286.0,Thursday 11:00,5,"9, 10, 11, 12, 13",0225_02_2.201,Centrally Allocated Space,General Teaching,Gordon Aikman Lecture Theatre,Central
23637,School of Informatics,INFR08020_SV1_SEM2_2024/5,E:LAWDY8QA5F,Tutorial,50,18.0,Thursday 13:00,9,"27, 28, 29, 30, 32, 33, 34, 35, 36",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23638,School of Informatics,INFR10076_SV1_SEM1_2024/5,E:OKPFNJ8NYC,Lecture,50,71.0,Friday 12:00,7,"9, 10, 11, 12, 13, 14, 15",0228_-1_LG.11,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23639,School of Informatics,EPCC11004_SV1_SEM1_2024/5,E:LSKZJPQI9S,Lecture,110,60.0,Friday 14:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0229_01_1.B,Centrally Allocated Space,General Teaching,40 George Square Lecture Theatres,Central
23640,School of Informatics,EPCC11002_SV1_SEM1_2024/5,E:M5CYBB5EVL,Seminar,180,75.0,Friday 09:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0228_-1_LG.11,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
23641,School of Informatics,INFR11136_SS1_SEM1_2024/5,E:92T83LUYIY,Tutorial,50,20.0,Monday 17:00,5,"12, 13, 14, 15, 16",0201_02_2.04,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23647,School of Informatics,INFR10057_SV1_SEM1_2024/5,E:CI2Q9RHPGQ,Tutorial,50,20.0,Thursday 13:00,9,"10, 11, 12, 13, 14, 15, 16, 17, 18",0201_02_2.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
23650,School of Informatics,"INFR11202_SV1_SEM2_2024/5, INFR11224_SV1_SEM2_2024/5",E:EF1FYGOA8L-00001,Tutorial,50,99.0,Monday 14:00,3,"30, 33, 35",0005_-1_B.01,Centrally Allocated Space,General Teaching,Adam House,Central
23651,School of Informatics,"INFR11210_SV1_YR_2024/5, INFR11237_SS1_YR_2024/5",E:CUAS5QU2RA,Lecture,110,28.0,Tuesday 10:00,2,"10, 13",0113_01M_01M.469,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
23652,School of Informatics,EPCC11005_SV1_SEM1_2024/5,E:PDHDYXCCSR,Lecture,50,35.0,Wednesday 11:00,2,"11, 12",0131_04_4.07,Centrally Allocated Space,General Teaching,13-15 South College Street,Central
23654,School of Informatics,"INFR11187_SS1_SEM2_2024/5, INFR11227_SS1_SEM2_2024/5",E:WDGLWI7TCN,Tutorial,50,15.0,Wednesday 10:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
