,Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus
260,Business School,BUST08003_SV1_SEM1_2024/5,E:ALYDIY73KJ,Tutorial,50,16.0,Thursday 17:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0201_00_G.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
261,Business School,CMSE11565_SV1_SB3_2024/5,E:J56MFZKTO1,Lecture,50,35.0,Tuesday 13:00,5,"26, 27, 28, 29, 30",0226_-1_LG.18,Locally Allocated Space,General Teaching,Business School,Central
262,Business School,ACCN08007_SS1_SEM1_2024/5,E:N8S2S5TQTB,Tutorial,50,17.0,Monday 15:00,9,"10, 11, 12, 13, 15, 16, 17, 18, 19",0335_01_1.2,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
263,Business School,CMSE11486_SS1_SB2_2024/5,E:WJ8SGSTVP3,Seminar,80,33.0,Tuesday 11:00,5,"15, 16, 17, 18, 19",0226_-1_LG.14,Locally Allocated Space,General Teaching,Business School,Central
264,Business School,BUST08009_SV1_SEM2_2024/5,E:3K6PJFCOP1,Tutorial,50,18.0,Wednesday 12:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0201_02_2.06,Centrally Allocated Space,General Teaching,Appleton Tower,Central
265,Business School,ACCN08012_SV1_SEM1_2024/5,E:E7IZ6QLZJ9,Tutorial,50,16.0,Thursday 14:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0103_01_1.B15,Centrally Allocated Space,General Teaching,Forresthill,Central
266,Business School,ACCN10029_SV1_SEM1_2024/5,E:KTC7N92TJQ,Tutorial,50,16.0,Wednesday 13:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0201_00_G.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
267,Business School,BUST10033_SV1_SEM1_2024/5,E:92MBUXEH27,Q&A Session,50,65.0,Thursday 15:00,2,"11, 15",0226_-1_LG.11,Locally Allocated Space,General Teaching,Business School,Central
268,Business School,CMSE11663_SV1_SB4_2024/5,E:C8BC5RCJ8L,Oral Presentation,110,50.0,Friday 10:00,2,"34, 36",0422_J_J.03,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
271,Business School,ACCN08009_SV1_SEM1_2024/5,E:WFIQFOPFWB,Tutorial,50,13.0,Tuesday 17:00,9,"10, 11, 12, 13, 15, 16, 17, 18, 19",0201_00_G.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
273,Business School,BUST10120_SV1_SEM2_2024/5,E:6C3E7U91VZ,Lecture,110,25.0,Wednesday 09:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0226_-1_LG.10,Locally Allocated Space,General Teaching,Business School,Central
274,Business School,CMSE11539_SS1_SEM1_2024/5,E:W1X8YKSSSF,Seminar,170,45.0,Thursday 09:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0226_-1_LG.10,Locally Allocated Space,General Teaching,Business School,Central
275,Business School,ACCN10009_SV1_SEM1_2024/5,E:6MTPFEEJQH,Lecture,110,100.0,Thursday 09:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0450_02_2.35,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
