Session_ID,Event_ID,Event_Size,Original_Time,Assigned_Time,Assigned_Room,Assigned_Campus,Assigned_Capacity,Penalty,Status
E:J8M68N9ERN_W13,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0110_02_2.01,Central,25,0.0,Scheduled
E:J8M68N9ERN_W14,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0335_02_2.1,Central,25,0.0,Scheduled
E:J8M68N9ERN_W15,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0335_05_5.2,Central,32,7.0,Scheduled
E:J8M68N9ERN_W16,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0110_02_2.01,Central,25,0.0,Scheduled
E:J8M68N9ERN_W17,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0110_02_2.01,Central,25,0.0,Scheduled
E:J8M68N9ERN_W18,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0201_02_2.11,Central,28,3.0,Scheduled
E:9NTZRPQ198_W9,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0335_03_3.1,Central,25,0.0,Scheduled
E:9NTZRPQ198_W10,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0110_02_2.01,Central,25,0.0,Scheduled
E:9NTZRPQ198_W11,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0335_02_2.1,Central,25,0.0,Scheduled
E:9NTZRPQ198_W12,E:9NTZRPQ198,25.0,Tuesday 11:00,Tuesday 11:00,0335_02_2.1,Central,25,0.0,Scheduled
E:IEZWSX84I1_W11,E:IEZWSX84I1,25.0,Monday 16:00,Monday 16:00,0335_01_1.1,Central,25,0.0,Scheduled
E:IEZWSX84I1_W12,E:IEZWSX84I1,25.0,Monday 16:00,Monday 16:00,0335_05_5.1,Central,25,0.0,Scheduled
E:IEZWSX84I1_W13,E:IEZWSX84I1,25.0,Monday 16:00,Monday 16:00,0335_05_5.1,Central,25,0.0,Scheduled
E:IEZWSX84I1_W14,E:IEZWSX84I1,25.0,Monday 16:00,Monday 16:00,0335_02_2.1,Central,25,0.0,Scheduled
E:IEZWSX84I1_W15,E:IEZWSX84I1,25.0,Monday 16:00,Monday 16:00,0335_01_1.1,Central,25,0.0,Scheduled
E:JXKGD3QVHO_W32,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0300_00_NG.01,Central,36,11.0,Scheduled
E:JXKGD3QVHO_W33,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0226_01_1.02,Central,50,25.0,Scheduled
E:JXKGD3QVHO_W34,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0226_-1_LG.14,Central,68,43.0,Scheduled
E:JXKGD3QVHO_W35,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0226_-1_LG.19,Central,70,45.0,Scheduled
E:JXKGD3QVHO_W36,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0226_-1_LG.19,Central,70,45.0,Scheduled
E:JXKGD3QVHO_W37,E:JXKGD3QVHO,25.0,Thursday 14:00,Thursday 14:00,0110_02_2.01,Central,25,0.0,Scheduled
E:1MEYMKQ67T_W27,E:1MEYMKQ67T,25.0,Tuesday 14:00,Tuesday 14:00,0229_01_1.C,Central,250,225.0,Scheduled
E:1MEYMKQ67T_W28,E:1MEYMKQ67T,25.0,Tuesday 14:00,Tuesday 14:00,0229_01_1.C,Central,250,225.0,Scheduled
E:1MEYMKQ67T_W29,E:1MEYMKQ67T,25.0,Tuesday 14:00,Tuesday 14:00,0229_01_1.C,Central,250,225.0,Scheduled
E:1MEYMKQ67T_W30,E:1MEYMKQ67T,25.0,Tuesday 14:00,Tuesday 14:00,0201_00_G.07,Central,194,169.0,Scheduled
E:1MEYMKQ67T_W32,E:1MEYMKQ67T,25.0,Tuesday 14:00,Tuesday 14:00,0226_-1_LG.19,Central,70,45.0,Scheduled
E:1MEYMKQ67T_W33,E:1MEYMKQ67T,25.0,Tuesday 14:00,Tuesday 14:00,0228_11_11.10,Central,36,11.0,Scheduled
E:1MEYMKQ67T_W34,E:1MEYMKQ67T,25.0,Tuesday 14:00,Tuesday 14:00,0226_-1_LG.10,Central,72,47.0,Scheduled
E:G9TSB9WINT_W13,E:G9TSB9WINT,25.0,Thursday 14:00,Thursday 14:00,0209_02_2.37,Central,30,5.0,Scheduled
E:IEZWSX84I1_W17,E:IEZWSX84I1,25.0,Monday 16:00,Monday 16:00,0113_00_G.14,Central,26,1.0,Scheduled
E:J8M68N9ERN_W9,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0110_02_2.01,Central,25,0.0,Scheduled
E:J8M68N9ERN_W10,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0110_02_2.01,Central,25,0.0,Scheduled
E:J8M68N9ERN_W11,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0110_02_2.01,Central,25,0.0,Scheduled
E:92CF9N1MIF-00001_W28,E:92CF9N1MIF-00001,25.0,Tuesday 13:00,Tuesday 13:00,0201_01_1.06,Central,300,275.0,Scheduled
E:92CF9N1MIF-00001_W33,E:92CF9N1MIF-00001,25.0,Tuesday 13:00,Tuesday 13:00,0422_J_J.03,Central,60,35.0,Scheduled
E:92CF9N1MIF-00001_W36,E:92CF9N1MIF-00001,25.0,Tuesday 13:00,Tuesday 13:00,0226_-1_LG.14,Central,68,43.0,Scheduled
E:CWTT656P5H_W9,E:CWTT656P5H,25.0,Tuesday 13:00,Tuesday 13:00,0110_02_2.01,Central,25,0.0,Scheduled
E:CWTT656P5H_W10,E:CWTT656P5H,25.0,Tuesday 13:00,Tuesday 13:00,0335_03_3.1,Central,25,0.0,Scheduled
E:1MEYMKQ67T_W35,E:1MEYMKQ67T,25.0,Tuesday 14:00,Tuesday 14:00,0226_-1_LG.10,Central,72,47.0,Scheduled
E:J8M68N9ERN_W12,E:J8M68N9ERN,25.0,Thursday 14:00,Thursday 14:00,0201_02_2.11,Central,28,3.0,Scheduled
E:ZKLDBY4OPO-00001_W26,E:ZKLDBY4OPO-00001,25.0,Monday 14:00,Monday 14:00,0228_04_4.18,Central,25,0.0,Scheduled
E:ZKLDBY4OPO-00001_W27,E:ZKLDBY4OPO-00001,25.0,Monday 14:00,Monday 14:00,0112_-1_B.06,Central,25,0.0,Scheduled
E:ZKLDBY4OPO-00001_W28,E:ZKLDBY4OPO-00001,25.0,Monday 14:00,Monday 14:00,0335_03_3.1,Central,25,0.0,Scheduled
E:OA4ART4XTM_W17,E:OA4ART4XTM,25.0,Tuesday 10:00,Tuesday 10:00,0201_01_1.06,Central,300,275.0,Scheduled
E:OA4ART4XTM_W18,E:OA4ART4XTM,25.0,Tuesday 10:00,Tuesday 10:00,0201_01_1.06,Central,300,275.0,Scheduled
E:OA4ART4XTM_W19,E:OA4ART4XTM,25.0,Tuesday 10:00,Tuesday 10:00,0008_02_2.403,Central,45,20.0,Scheduled
E:KOPUSXNC6F_W26,E:KOPUSXNC6F,25.0,Tuesday 14:00,Tuesday 14:00,0300_00_NG.01,Central,36,11.0,Scheduled
E:KOPUSXNC6F_W27,E:KOPUSXNC6F,25.0,Tuesday 14:00,Tuesday 14:00,0201_01_1.06,Central,300,275.0,Scheduled
E:KOPUSXNC6F_W28,E:KOPUSXNC6F,25.0,Tuesday 14:00,Tuesday 14:00,0201_01_1.08,Central,307,282.0,Scheduled
E:KOPUSXNC6F_W29,E:KOPUSXNC6F,25.0,Tuesday 14:00,Tuesday 14:00,0113_01_1.425,Central,260,235.0,Scheduled
E:KOPUSXNC6F_W30,E:KOPUSXNC6F,25.0,Tuesday 14:00,Tuesday 14:00,0229_01_1.C,Central,250,225.0,Scheduled
E:2KX6HZAXTD_W10,E:2KX6HZAXTD,25.0,Monday 11:00,Monday 11:00,0335_04_4.1,Central,30,5.0,Scheduled
E:2KX6HZAXTD_W11,E:2KX6HZAXTD,25.0,Monday 11:00,Monday 11:00,0335_04_4.1,Central,30,5.0,Scheduled
E:2KX6HZAXTD_W12,E:2KX6HZAXTD,25.0,Monday 11:00,Monday 11:00,0227_00_G.05,Central,44,19.0,Scheduled
E:2KX6HZAXTD_W13,E:2KX6HZAXTD,25.0,Monday 11:00,Monday 11:00,0201_02_2.11,Central,28,3.0,Scheduled
E:2KX6HZAXTD_W14,E:2KX6HZAXTD,25.0,Monday 11:00,Monday 11:00,0001_01_1.267,Central,26,1.0,Scheduled
E:2KX6HZAXTD_W15,E:2KX6HZAXTD,25.0,Monday 11:00,Monday 11:00,0335_04_4.1,Central,30,5.0,Scheduled
