scenario,event_id,event_name,module_id,day,start_min,end_min,original_day,assigned_day,original_start_min,original_end_min,assigned_start_min,assigned_end_min,day_shift_steps,shift_minutes,is_time_shifted,is_day_shifted,is_shifted,event_size,weeks_count,assigned,assigned_room,assigned_campus,assigned_capacity,capacity_margin,unassigned_reason
central_plus_both_shift60,E:OGMTQZFYRI-00002-00001,Pedagogies - Workshop/01,EDUA11449_SS1_SEM2_2024/5,Wednesday,660.0,780.0,Wednesday,Wednesday,600.0,720.0,660.0,780.0,0.0,60.0,True,False,True,30.0,5,True,0401_01_1.07,New College,32.0,2.0,
central_plus_both_shift60,E:S5T3TRVYKP-00002-00001,Pedagogies - Workshop/03,EDUA11449_SS1_SEM2_2024/5,Wednesday,660.0,780.0,Wednesday,Wednesday,600.0,720.0,660.0,780.0,0.0,60.0,True,False,True,30.0,4,True,0228_-1_LG.10,Central,36.0,6.0,
central_plus_both_shift60,E:5AB85WSTLF,Involving Children and Young People in Research and Participation - Workshop,EDUA11407_SV1_SEM2_2024/5,Monday,780.0,890.0,Monday,Monday,840.0,950.0,780.0,890.0,0.0,-60.0,True,False,True,30.0,8,True,0201_00_G.08,Central,193.0,163.0,
central_plus_both_shift60,E:536ASFREI3,Dissertation (MSc Inclusive Education) - Tutorial,REDU11088_SV1_YR_2024/5,Tuesday,690.0,800.0,Tuesday,Tuesday,660.0,770.0,690.0,800.0,0.0,30.0,True,False,True,30.0,6,True,0201_00_G.06,Central,193.0,163.0,
central_plus_both_shift60,E:NOBUX491AY,Psychology of Physical Activity 3 - Tutorial,SPRT10053_SV1_SEM2_2024/5,Tuesday,690.0,800.0,Tuesday,Tuesday,660.0,770.0,690.0,800.0,0.0,30.0,True,False,True,30.0,10,True,0201_00_G.08,Central,193.0,163.0,
central_plus_both_shift60,E:B6RZ1VGX2C,Translation and Creativity - Seminar,CLLC11127_SS1_SEM1_2024/5,Tuesday,720.0,830.0,Tuesday,Tuesday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,30.0,10,True,0401_01_1.07,New College,32.0,2.0,
central_plus_both_shift60,E:WEDOWMS3V8-00004,Dimensions of Teaching - Workshop/03,EDUA11441_SS1_SEM1_2024/5,Tuesday,780.0,890.0,Tuesday,Tuesday,840.0,950.0,780.0,890.0,0.0,-60.0,True,False,True,30.0,7,True,0201_00_G.08,Central,193.0,163.0,
central_plus_both_shift60,E:8MPR4DQGKR,Understanding School Leadership and Culture - Lecture/Seminar,EDUA10205_SV1_YR_2024/5,Thursday,510.0,620.0,Thursday,Thursday,540.0,650.0,510.0,620.0,0.0,-30.0,True,False,True,30.0,11,True,0201_00_G.07,Central,194.0,164.0,
central_plus_both_shift60,E:LDWIFCTWDB-00001,PGDE Secondary - Professional Studies Tutorial/04,EDUA11288_SS1_FLEX_2024/5,Thursday,720.0,830.0,Thursday,Thursday,780.0,890.0,720.0,830.0,0.0,-60.0,True,False,True,30.0,6,True,0113_01_1.416,Central,40.0,10.0,
central_plus_both_shift60,E:NAEJH3ZNIB-00001,PGDE Secondary - Professional Studies Tutorial/03,EDUA11288_SS1_FLEX_2024/5,Thursday,720.0,830.0,Thursday,Thursday,780.0,890.0,720.0,830.0,0.0,-60.0,True,False,True,30.0,5,True,0335_02_2.2,Central,44.0,14.0,
central_plus_both_shift60,E:VHETL8E6FW-00004,PGDE Secondary - Professional Studies Tutorial/01,EDUA11288_SS1_FLEX_2024/5,Thursday,780.0,890.0,Thursday,Thursday,840.0,950.0,780.0,890.0,0.0,-60.0,True,False,True,30.0,2,True,0401_01M_01M.19,New College,38.0,8.0,
central_plus_both_shift60,E:3NMU9BZ5MU-00004,PGDE Secondary - Professional Studies Tutorial/06,EDUA11288_SS1_FLEX_2024/5,Thursday,780.0,890.0,Thursday,Thursday,840.0,950.0,780.0,890.0,0.0,-60.0,True,False,True,30.0,2,True,0401_01_1.01,New College,84.0,54.0,
central_plus_both_shift60,E:SV7LNBE9CQ,IFP - Living and Learning in Britain A,LLLJ07016_SS1_YR_2024/5,Thursday,510.0,600.0,Thursday,Thursday,540.0,630.0,510.0,600.0,0.0,-30.0,True,False,True,30.0,11,True,0300_00_NG.02,Central,36.0,6.0,
central_plus_both_shift60,E:BLGWRLK3UD,IFP - Living and Learning in Britain B,"COL_IFP_2024/5, LLLJ07016_SS1_YR_2024/5",Thursday,510.0,600.0,Thursday,Thursday,540.0,630.0,510.0,600.0,0.0,-30.0,True,False,True,30.0,11,True,0227_00_G.01,Central,30.0,0.0,
central_plus_both_shift60,E:HA1ANMLTMX,IFP - Living and Learning in Britain B,LLLJ07016_SS1_YR_2024/5,Thursday,720.0,810.0,Thursday,Thursday,660.0,750.0,720.0,810.0,0.0,60.0,True,False,True,30.0,10,True,0201_00_G.08,Central,193.0,163.0,
central_plus_both_shift60,E:AID7L6QHO6,IFP - Living and Learning in Britain C,"LLLJ07016_SS1_YR_2024/5, COL_IFP_2024/5",Thursday,750.0,840.0,Thursday,Thursday,780.0,870.0,750.0,840.0,0.0,-30.0,True,False,True,30.0,11,True,0421_E_E.22,Lauriston,218.0,188.0,
central_plus_both_shift60,E:SS95Z8GLGR,EDS2A - Workshop/D,EDUA08099_SV1_SEM1_2024/5,Tuesday,900.0,1010.0,Tuesday,Tuesday,840.0,950.0,900.0,1010.0,0.0,60.0,True,False,True,28.0,10,True,0251_01_1.02,Central,28.0,0.0,
central_plus_both_shift60,E:8494F9G9JH-00003,PECP3: National Awards - Seminar/D,EDUA10180_SS1_YR_2024/5,Wednesday,720.0,830.0,Wednesday,Wednesday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,28.0,11,True,0228_11_11.10,Central,36.0,8.0,
central_plus_both_shift60,E:75CBUX7HNW-00003,PECP3: National Awards - Seminar/A,EDUA10180_SS1_YR_2024/5,Wednesday,720.0,830.0,Wednesday,Wednesday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,28.0,11,True,0300_00_NG.01,Central,36.0,8.0,
central_plus_both_shift60,E:FDZ9JRXR2M-00003,PECP3: National Awards - Seminar/B,EDUA10180_SS1_YR_2024/5,Wednesday,720.0,830.0,Wednesday,Wednesday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,28.0,11,True,0401_01M_01M.19,New College,38.0,10.0,
central_plus_both_shift60,E:CDDUFSDPWH-00003,PECP3: National Awards - Seminar/C,EDUA10180_SS1_YR_2024/5,Wednesday,720.0,830.0,Wednesday,Wednesday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,28.0,11,True,0450_02_2.55,Central,68.0,40.0,
central_plus_both_shift60,E:8494F9G9JH-00002,PECP3: National Awards - Seminar/D,EDUA10180_SS1_YR_2024/5,Thursday,660.0,750.0,Thursday,Thursday,630.0,720.0,660.0,750.0,0.0,30.0,True,False,True,28.0,1,True,0201_00_G.08,Central,193.0,165.0,
central_plus_both_shift60,E:C3Y39D7LQA-00001,Physical Culture: Philosophical and Sociological Perspectives 1- Seminar/03	,EDUA08120_SV1_SEM1_2024/5,Tuesday,480.0,720.0,Tuesday,Tuesday,540.0,780.0,480.0,720.0,0.0,-60.0,True,False,True,25.0,6,True,0423_R_R.02B,Lauriston,27.0,2.0,
central_plus_both_shift60,E:JL4L7AUGLK,Applying Sport Science 3 - Lecture,SPRT10037_SV1_SEM1_2024/5,Tuesday,480.0,660.0,Tuesday,Tuesday,540.0,720.0,480.0,660.0,0.0,-60.0,True,False,True,25.0,7,True,0251_01_1.01,Central,28.0,3.0,
central_plus_both_shift60,E:SGKEHI8AGU,Physical Culture: Philosophical and Sociological Perspectives 1- Seminar/04	,EDUA08120_SV1_SEM1_2024/5,Tuesday,540.0,720.0,Tuesday,Tuesday,600.0,780.0,540.0,720.0,0.0,-60.0,True,False,True,25.0,2,True,0423_R_R.02B,Lauriston,27.0,2.0,
central_plus_both_shift60,E:5I4ZC6MSV9,Physical Culture: Philosophical and Sociological Perspectives 1- Seminar/02	,EDUA08120_SV1_SEM1_2024/5,Tuesday,660.0,840.0,Tuesday,Tuesday,600.0,780.0,660.0,840.0,0.0,60.0,True,False,True,25.0,2,True,0226_-1_LG.14,Central,68.0,43.0,
central_plus_both_shift60,E:QBB3LQZ3KJ,The Nature of Enquiry - Lecture,REDU11002_SV1_SEM1_2024/5,Tuesday,540.0,660.0,Tuesday,Tuesday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,25.0,5,True,0226_01_1.07,Central,48.0,23.0,
central_plus_both_shift60,E:BM6RPVG45N-00002,"Educational Studies 1b: Teaching, learning and the Curriculum for Excellence - Workshop/02	",EDUA08100_SV1_SEM2_2024/5,Tuesday,540.0,660.0,Tuesday,Tuesday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,25.0,3,True,0228_09_9.18,Central,25.0,0.0,
central_plus_both_shift60,E:1ONY8FGIGE,Educational Studies 3: Teaching for Social Justice - Workshop 1/Group A	,EDUA10193_SS1_SEM2_2024/5,Tuesday,540.0,660.0,Tuesday,Tuesday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,25.0,5,True,0251_01_1.01,Central,28.0,3.0,
central_plus_both_shift60,E:JOWRF6MGSQ,Health and Wellbeing 2 - Seminar/01,EDUA08118_SV1_SEM2_2024/5,Wednesday,540.0,660.0,Wednesday,Wednesday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,25.0,4,True,0001_01_1.267,Central,26.0,1.0,
