scenario,day,start_min,end_min,unassigned_events
central_plus_both_shift60,Tuesday,660.0,750.0,3
central_plus_both_shift60,Monday,840.0,950.0,2
central_plus_both_shift60,Thursday,600.0,690.0,2
central_plus_both_shift60,Thursday,600.0,720.0,2
central_plus_both_shift60,Thursday,600.0,750.0,2
central_plus_both_shift60,Thursday,600.0,780.0,2
central_plus_both_shift60,Thursday,660.0,740.0,2
central_plus_both_shift60,Thursday,690.0,780.0,2
central_plus_both_shift60,Tuesday,600.0,690.0,2
central_plus_both_shift60,Tuesday,600.0,720.0,2
central_plus_both_shift60,Tuesday,600.0,1200.0,2
central_plus_both_shift60,Tuesday,660.0,740.0,2
central_plus_both_shift60,Wednesday,600.0,780.0,2
central_plus_both_shift60,Wednesday,660.0,740.0,2
central_plus_both_shift60,Wednesday,660.0,770.0,2
central_plus_both_shift60,Thursday,540.0,710.0,1
central_plus_both_shift60,Thursday,660.0,710.0,1
central_plus_both_shift60,Thursday,690.0,750.0,1
central_plus_both_shift60,Thursday,840.0,950.0,1
central_plus_both_shift60,Tuesday,600.0,710.0,1
central_plus_both_shift60,Tuesday,600.0,780.0,1
central_plus_both_shift60,Tuesday,660.0,830.0,1
central_plus_both_shift60,Tuesday,810.0,960.0,1
central_plus_both_shift60,Tuesday,840.0,1010.0,1
central_plus_both_shift60,Wednesday,600.0,720.0,1
central_plus_both_shift60,Wednesday,660.0,750.0,1
central_plus_lauriston,Tuesday,840.0,950.0,23
central_plus_lauriston,Thursday,660.0,770.0,16
central_plus_lauriston,Wednesday,660.0,770.0,13
central_plus_lauriston,Thursday,840.0,950.0,11
central_plus_lauriston,Tuesday,600.0,690.0,10
central_plus_lauriston,Wednesday,600.0,720.0,10
central_plus_lauriston,Tuesday,660.0,770.0,9
central_plus_lauriston,Thursday,780.0,860.0,8
central_plus_lauriston,Thursday,780.0,890.0,8
central_plus_lauriston,Thursday,840.0,890.0,8
central_plus_lauriston,Tuesday,660.0,750.0,8
central_plus_lauriston,Monday,840.0,920.0,7
central_plus_lauriston,Thursday,600.0,720.0,7
central_plus_lauriston,Thursday,600.0,780.0,7
central_plus_lauriston,Tuesday,600.0,720.0,7
central_plus_lauriston,Tuesday,780.0,860.0,7
central_plus_lauriston,Wednesday,540.0,650.0,7
central_plus_lauriston,Monday,600.0,690.0,6
central_plus_lauriston,Monday,840.0,950.0,6
central_plus_lauriston,Tuesday,540.0,1080.0,6
central_plus_lauriston,Wednesday,630.0,750.0,6
central_plus_lauriston,Wednesday,660.0,710.0,6
central_plus_lauriston,Wednesday,660.0,740.0,6
central_plus_lauriston,Thursday,660.0,710.0,5
central_plus_lauriston,Thursday,660.0,750.0,5
central_plus_lauriston,Tuesday,540.0,780.0,5
central_plus_lauriston,Tuesday,660.0,710.0,5
central_plus_lauriston,Tuesday,870.0,960.0,5
central_plus_lauriston,Wednesday,660.0,750.0,5
central_plus_lauriston,Thursday,600.0,650.0,4
central_plus_lauriston,Thursday,600.0,690.0,4
central_plus_lauriston,Thursday,690.0,750.0,4
central_plus_lauriston,Wednesday,540.0,640.0,4
central_plus_lauriston,Friday,600.0,720.0,3
central_plus_lauriston,Monday,870.0,960.0,3
central_plus_lauriston,Thursday,600.0,750.0,3
central_plus_lauriston,Thursday,660.0,740.0,3
central_plus_lauriston,Thursday,840.0,930.0,3
central_plus_lauriston,Tuesday,540.0,640.0,3
central_plus_lauriston,Tuesday,600.0,710.0,3
central_plus_lauriston,Tuesday,600.0,750.0,3
central_plus_lauriston,Tuesday,600.0,780.0,3
central_plus_lauriston,Wednesday,540.0,620.0,3
central_plus_lauriston,Friday,540.0,640.0,2
central_plus_lauriston,Thursday,540.0,620.0,2
central_plus_lauriston,Thursday,600.0,680.0,2
central_plus_lauriston,Thursday,690.0,780.0,2
central_plus_lauriston,Thursday,900.0,980.0,2
central_plus_lauriston,Tuesday,540.0,650.0,2
central_plus_lauriston,Tuesday,600.0,1200.0,2
central_plus_lauriston,Tuesday,660.0,740.0,2
central_plus_lauriston,Tuesday,840.0,890.0,2
central_plus_lauriston,Tuesday,840.0,930.0,2
central_plus_lauriston,Tuesday,840.0,980.0,2
central_plus_lauriston,Wednesday,600.0,650.0,2
central_plus_lauriston,Wednesday,600.0,780.0,2
central_plus_lauriston,Monday,600.0,720.0,1
central_plus_lauriston,Monday,660.0,740.0,1
central_plus_lauriston,Monday,660.0,770.0,1
central_plus_lauriston,Monday,810.0,960.0,1
central_plus_lauriston,Monday,840.0,890.0,1
central_plus_lauriston,Thursday,540.0,630.0,1
central_plus_lauriston,Thursday,540.0,650.0,1
central_plus_lauriston,Thursday,540.0,710.0,1
central_plus_lauriston,Thursday,540.0,720.0,1
central_plus_lauriston,Thursday,690.0,770.0,1
central_plus_lauriston,Thursday,780.0,870.0,1
central_plus_lauriston,Thursday,840.0,940.0,1
central_plus_lauriston,Thursday,840.0,960.0,1
central_plus_lauriston,Tuesday,540.0,720.0,1
central_plus_lauriston,Tuesday,660.0,830.0,1
central_plus_lauriston,Tuesday,690.0,780.0,1
central_plus_lauriston,Tuesday,780.0,890.0,1
central_plus_lauriston,Tuesday,810.0,960.0,1
central_plus_lauriston,Tuesday,840.0,1010.0,1
central_plus_lauriston,Tuesday,900.0,950.0,1
central_plus_lauriston,Wednesday,540.0,720.0,1
central_plus_new_college,Tuesday,840.0,950.0,26
central_plus_new_college,Thursday,660.0,770.0,16
central_plus_new_college,Thursday,840.0,950.0,12
central_plus_new_college,Wednesday,660.0,770.0,12
central_plus_new_college,Wednesday,600.0,720.0,11
central_plus_new_college,Tuesday,600.0,690.0,10
central_plus_new_college,Tuesday,660.0,770.0,10
central_plus_new_college,Monday,600.0,690.0,9
central_plus_new_college,Thursday,780.0,890.0,9
central_plus_new_college,Thursday,600.0,720.0,8
central_plus_new_college,Thursday,780.0,860.0,8
central_plus_new_college,Thursday,840.0,890.0,8
central_plus_new_college,Tuesday,660.0,750.0,8
central_plus_new_college,Wednesday,540.0,650.0,8
