scenario,day,campus_from,campus_to,conflict_count
central_plus_both_shift120,Monday,Central,King's Buildings,2579
central_plus_both_shift120,Friday,King's Buildings,Central,2552
central_plus_both_shift120,Tuesday,Central,King's Buildings,2478
central_plus_both_shift120,Thursday,Central,King's Buildings,2408
central_plus_both_shift120,Friday,Central,King's Buildings,2403
central_plus_both_shift120,Thursday,New College,Central,2270
central_plus_both_shift120,Thursday,Central,New College,2020
central_plus_both_shift120,Wednesday,King's Buildings,Central,1976
central_plus_both_shift120,Wednesday,Central,King's Buildings,1822
central_plus_both_shift120,Monday,Central,New College,1454
central_plus_both_shift120,Tuesday,Central,New College,1451
central_plus_both_shift120,Thursday,Central,Lauriston,1328
central_plus_both_shift120,Thursday,Lauriston,Central,1319
central_plus_both_shift120,Monday,New College,Central,1292
central_plus_both_shift120,Tuesday,New College,Central,1259
central_plus_both_shift120,Tuesday,Central,Lauriston,1120
central_plus_both_shift120,Tuesday,Lauriston,Central,1104
central_plus_both_shift120,Friday,Central,New College,1016
central_plus_both_shift120,Friday,New College,Central,1007
central_plus_both_shift120,Wednesday,Lauriston,Central,914
central_plus_both_shift120,Monday,Lauriston,Central,734
central_plus_both_shift120,Wednesday,Central,Lauriston,705
central_plus_both_shift120,Monday,Central,Lauriston,652
central_plus_both_shift120,Friday,Lauriston,Central,470
central_plus_both_shift120,Friday,Central,Lauriston,415
central_plus_both_shift120,Wednesday,New College,Central,371
central_plus_both_shift120,Wednesday,Central,New College,300
central_plus_both_shift120,Monday,New College,King's Buildings,189
central_plus_both_shift120,Thursday,Central,Holyrood,177
central_plus_both_shift120,Thursday,King's Buildings,New College,136
central_plus_both_shift120,Tuesday,New College,King's Buildings,126
central_plus_both_shift120,Thursday,New College,King's Buildings,115
central_plus_both_shift120,Monday,King's Buildings,New College,94
central_plus_both_shift120,Thursday,Holyrood,Central,94
central_plus_both_shift120,Thursday,New College,Lauriston,83
central_plus_both_shift120,Tuesday,Lauriston,New College,83
central_plus_both_shift120,Tuesday,New College,Lauriston,77
central_plus_both_shift120,Thursday,King's Buildings,Lauriston,69
central_plus_both_shift120,Thursday,Lauriston,New College,68
central_plus_both_shift120,Tuesday,King's Buildings,New College,58
central_plus_both_shift120,Friday,New College,King's Buildings,53
central_plus_both_shift120,Monday,Central,Bioquarter,53
central_plus_both_shift120,Tuesday,Lauriston,King's Buildings,53
central_plus_both_shift120,Thursday,Lauriston,King's Buildings,52
central_plus_both_shift120,Tuesday,Holyrood,Central,51
central_plus_both_shift120,Tuesday,Central,Bioquarter,50
central_plus_both_shift120,Monday,Holyrood,Central,48
central_plus_both_shift120,Tuesday,Central,Holyrood,46
central_plus_both_shift120,Monday,New College,Lauriston,45
central_plus_both_shift120,Friday,Bioquarter,Central,44
central_plus_both_shift120,Friday,King's Buildings,New College,44
central_plus_both_shift120,Monday,Bioquarter,Central,44
central_plus_both_shift120,Wednesday,New College,King's Buildings,43
central_plus_both_shift120,Tuesday,King's Buildings,Lauriston,41
central_plus_both_shift120,Tuesday,Bioquarter,Central,38
central_plus_both_shift120,Thursday,Bioquarter,Central,37
central_plus_both_shift120,Friday,New College,Lauriston,35
central_plus_both_shift120,Wednesday,King's Buildings,Lauriston,35
central_plus_both_shift120,Thursday,Central,Bioquarter,32
central_plus_both_shift120,Wednesday,Central,Holyrood,32
central_plus_both_shift120,Wednesday,Holyrood,Central,32
central_plus_both_shift120,Wednesday,King's Buildings,New College,31
central_plus_both_shift120,Thursday,Bioquarter,King's Buildings,30
central_plus_both_shift120,Monday,Lauriston,New College,26
central_plus_both_shift120,Wednesday,Central,Bioquarter,26
central_plus_both_shift120,Friday,Central,Bioquarter,24
central_plus_both_shift120,Monday,Lauriston,King's Buildings,24
central_plus_both_shift120,Wednesday,Lauriston,King's Buildings,20
central_plus_both_shift120,Wednesday,New College,Lauriston,20
central_plus_both_shift120,Monday,Central,Holyrood,18
central_plus_both_shift120,Thursday,Lauriston,Holyrood,17
central_plus_both_shift120,Friday,Holyrood,Central,16
central_plus_both_shift120,Monday,King's Buildings,Lauriston,15
central_plus_both_shift120,Friday,King's Buildings,Lauriston,13
central_plus_both_shift120,Friday,Lauriston,King's Buildings,13
central_plus_both_shift120,Thursday,King's Buildings,Bioquarter,13
central_plus_both_shift120,Tuesday,Lauriston,Holyrood,12
central_plus_both_shift120,Wednesday,Bioquarter,Central,12
central_plus_both_shift120,Friday,Lauriston,New College,10
central_plus_both_shift120,Wednesday,Lauriston,New College,10
central_plus_both_shift120,Friday,Bioquarter,New College,9
central_plus_both_shift120,Thursday,Bioquarter,New College,9
central_plus_both_shift120,Wednesday,Lauriston,Holyrood,8
central_plus_both_shift120,Friday,Central,Holyrood,7
central_plus_both_shift120,Friday,King's Buildings,Holyrood,6
central_plus_both_shift120,Tuesday,New College,Holyrood,6
central_plus_both_shift120,Monday,Holyrood,Lauriston,5
central_plus_both_shift120,Tuesday,Bioquarter,King's Buildings,5
central_plus_both_shift120,Wednesday,King's Buildings,Bioquarter,5
central_plus_both_shift120,Friday,Lauriston,Holyrood,2
central_plus_both_shift120,Thursday,Holyrood,Lauriston,2
central_plus_both_shift120,Tuesday,Holyrood,King's Buildings,2
central_plus_both_shift120,Tuesday,King's Buildings,Bioquarter,2
central_plus_both_shift120,Tuesday,King's Buildings,Holyrood,2
central_plus_both_shift120,Wednesday,New College,Bioquarter,2
central_plus_both_shift120,Friday,Holyrood,King's Buildings,1
central_plus_both_shift120,Friday,New College,Bioquarter,1
central_plus_both_shift120,Monday,King's Buildings,Bioquarter,1
central_plus_both_shift120,Monday,King's Buildings,Holyrood,1
central_plus_both_shift120,Thursday,Bioquarter,Western General,1
central_plus_both_shift120,Thursday,Holyrood,New College,1
central_plus_both_shift120,Tuesday,Holyrood,Lauriston,1
central_plus_both_shift120_crossday,Monday,King's Buildings,Central,2783
central_plus_both_shift120_crossday,Tuesday,King's Buildings,Central,2772
central_plus_both_shift120_crossday,Thursday,King's Buildings,Central,2759
central_plus_both_shift120_crossday,Monday,Central,King's Buildings,2579
central_plus_both_shift120_crossday,Friday,King's Buildings,Central,2552
central_plus_both_shift120_crossday,Tuesday,Central,King's Buildings,2478
central_plus_both_shift120_crossday,Thursday,Central,King's Buildings,2408
central_plus_both_shift120_crossday,Friday,Central,King's Buildings,2403
central_plus_both_shift120_crossday,Thursday,New College,Central,2273
central_plus_both_shift120_crossday,Thursday,Central,New College,2021
central_plus_both_shift120_crossday,Wednesday,King's Buildings,Central,1976
central_plus_both_shift120_crossday,Wednesday,Central,King's Buildings,1822
central_plus_both_shift120_crossday,Tuesday,Central,New College,1451
central_plus_both_shift120_crossday,Monday,Central,New College,1440
central_plus_both_shift120_crossday,Thursday,Central,Lauriston,1334
central_plus_both_shift120_crossday,Thursday,Lauriston,Central,1329
central_plus_both_shift120_crossday,Monday,New College,Central,1282
central_plus_both_shift120_crossday,Tuesday,New College,Central,1259
central_plus_both_shift120_crossday,Tuesday,Lauriston,Central,1131
central_plus_both_shift120_crossday,Tuesday,Central,Lauriston,1120
central_plus_both_shift120_crossday,Friday,Central,New College,1013
central_plus_both_shift120_crossday,Friday,New College,Central,996
central_plus_both_shift120_crossday,Wednesday,Lauriston,Central,914
central_plus_both_shift120_crossday,Wednesday,Central,Lauriston,705
